song,artist,genre,year,nrgy,dnce,dB,live,val,acous,spch,pop,lyrics
Bounce Back,Big Sean, Rap/Hip-Hop,2017,57,78,-6,13,27,11,14,76,"If Young Metro don't trust you I'ma shoot you
Last night took an L, but tonight I bounce back
Wake up every morning, by the night, I count stacks
Knew that ass was real when I hit, it bounce back
(You ain't getting checks)
Last night took an L, but tonight I bounce back
Boy, I been broke as hell, cashed a check and bounced back
D town LAX, every week I bounce back
If you a real one, then you know how to bounce back
Don't owe nobody, owe nobody
Always on the fuckin' job, I got no hobbies
Got the city fuckin' with me cause I'm homegrown
Vibin' out more than my phone though
Leave me 'lone, me on my own though
Look, I cut that bitch off like an edit
My daddy a G, it's genetics (Straight up)
I heard ya new shit, it's pathetic
Ya contract should be s-shredded
Took my dogs on a private jet from the public housing
I kept it G, yeah, one thousand
Clique star studded like the Paramount mountain
Everything I do is righteous
Betting on me is the right risk
Even in a fucking crisis
I'm never on some switching sides shit
I switch gears to the night shift
Blacking out cause I'm enlightened
God talk to me in silence
But I hear him every time mane
(Thank you God, God bless you, thank you so much)
Last night took an L, but tonight I bounce back
Wake up every morning, by the night, I count stacks
Knew that ass was real when I hit, it bounce back
(You ain't getting checks)
Last night took an L, but tonight I bounce back
Boy, I been broke as hell, cashed a check and bounced back
D town LAX, every week I bounce back
If you a real one, then you know how to bounce back
Look, I woke up in beast mode
With my girl, that's beauty and the beast though
Been top 5, these niggas sleep though
Only thing that sold out is the seats though (Never sold my soul, never will never have)
Nigga how dare you stand before me and not respect my authority
If you fuck with my glory I'ma drop the L and get gory
I done did everything expect worry
Hella drama, my life story
Faith of a mustard seed, I kept growing
I knew that this life was meant for me
Niggas change up more than wishin' wells
Karma come around I'll wish 'em well
Livin' like I'm on a limitless pill
I kill the scene like I'm Denzel
Crazy like my jacket strapped up
Nigga I don't act but I'll act up
Brown paper bag like the lunch packed up
Back, back, back, back up
Nigga I'ma need like 10 feet
Or get stomped out with ten feet
I'ma always lose my temper
You cannot ""count to ten"" me
If I lose 1, I bounce back like 2, 3 did with 4, 5
Seen court rooms and court sides, ain't too many seen both sides
Nigga fuck what you know
Nigga I'm takin' back control
The under dog just turned into the wolf and the hunger steady grows
Yeah, I call shots while you call off
Never takin' summer or fall off
When you stay that committed to it, you just fall down and never fall off
Last night took an L, but tonight I bounce back
Wake up every morning, by the night, I count stacks
Knew that ass was real when I hit, it bounce back
(You ain't getting checks)
Last night took an L, but tonight I bounce back
Boy, I been broke as hell, cashed a check and bounced back
D town LAX, every week I bounce back
If you a real one, then you know how to bounce back
Bounce back, bounce, bounce
Bounce back, bounce, bounce
Bounce, bounce, bitch, bounce (Yeah)
Is you a real one?
Is you a real one?
Real one
Real one
Is you a real one?
Real one
Real one
Don"
Man's Not Hot,Big Shaq, Rap/Hip-Hop,2017,88,91,-4,11,59,11,24,67,"Yo, Big Shaq, the one and only
Man's not hot, never hot
Skrrat (GottiOnEm), skidi-kat-kat
Boom
Two plus two is four
Minus one that's three, quick maths
Everyday man's on the block
Smoke trees (Ah)
See your girl in the park
That girl is a uckers
When the ting went quack-quack-quack
You man were ducking (You man ducked)
Hold tight, Asznee (My brudda)
He's got the pumpy (Big ting)
Hold tight, my man (My guy)
He's got the frisbee (Shew)
I trap, trap, trap on the phone
Movin' that cornflakes (Uh)
Rice Krispies
Hold tight, my girl Whitney (My G)
On, on, on, on, on the road doin' ten toes
Like my toes (Like my toes)
You man thought I froze
I see a peng girl, then I pose (Chilin')
If she ain't on it, I ghost
Hah, look at your nose (Check your nose, fam)
You donut
Nose long like garden hose
I tell her man's not hot
I tell her man's not hot
The girl told me, ""Take off your jacket""
I said, ""Babes, man's not hot"" (Never hot)
I tell her man's not hot (Never hot)
I tell her man's not hot (Never hot)
The girl told me, ""Take off your jacket""
I said, ""Babes, man's not hot"" (Never hot)
Hop out the four-door with the .44
It was one, two, three and four (Us, man)
Chillin' in the corridor (Yo)
Your dad is forty-four (Uh)
And he's still callin' man for a draw (Look at him)
Let him know
When I see him
I'm gonna spin his jaw (Finished)
Take man's Twix by force (Take it)
Send man's shop by force (Send him)
Your girl knows I've got the sauce (Flexin')
No ketchup (None)
Just sauce (Saucy)
Raw sauce
Ah, yo, boom, ah
The ting goes skrrrahh (Ah)
Pap, pap, ka-ka-ka (Ka-ka)
Skidiki-pap-pap (Pap)
And a pu-pu-pudrrrr-boom (Boom)
Skya (Ah)
Du-du-ku-ku-dun-dun (Dun)
Poom, poom
You don' know
I tell her man's not hot (Man's not)
I tell her man's not hot (Never hot)
The girl told me, ""Take off your jacket""
I said, ""Babes, man's not hot"" (Never hot)
I tell her man's not hot
I tell her man's not hot (Never hot)
The girl told me, ""Take off your jacket""
I said, ""Babes, man's not hot""
Man can never be hot (Never hot)
Perspiration ting (Spray dat)
Lynx Effect (Come on)
You didn't hear me, did you? (Nah)
Use roll-on (Use that)
Or spray (Shhh)
But either way, A-B-C-D (Alphabet ting)
The ting goes skrrrahh (Ah)
Pap, pap, ka-ka-ka (Ka)
Skidiki-pap-pap (Pap)
And a pu-pu-pudrrrr-boom (Boom)
Skya (Ah)
Du-du-ku-ku-dun-dun (Dun)
Poom, poom
You don' know
Big Shaq
Man's not hot
I tell her man's not hot (Never hot)
40 degrees and man's not hot (Come on)
Yo, in the sauna
Man's not hot (Never hot)
Yeah, skidika-pap-pap"
Bored,Billie Eilish, Pop,2017,32,61,-13,8,11,90,5,88,"Ah
Ah
The games you played were never fun (mm)
You'd say you'd stay but then you'd run (ah)
Givin' you what you're beggin' for
Givin' you what you say I need
I don't want any settled scores
I just want you to set me free
Givin' you what you're beggin' for
Givin' you what you say I need
Say I need
I'm not afraid anymore
What makes you sure you're all I need?
Forget about it
When you walk out the door and leave me torn
You're teachin' me to live without it
Bored
I'm so bored
I'm so bored
So bored
I'm home alone, you're God-knows-where (mm)
I hope you don't think that shit's fair (ah)
Givin' you all you want and more
Givin' you every piece of me
I don't want love I can't afford
I just want you to love for free
Can't you see that I'm gettin' bored?
Givin' you every piece of me
Piece of me
I'm not afraid anymore
What makes you sure you're all I need?
Forget about it
When you walk out the door and leave me torn
You're teachin' me to live without it
Bored
I'm so bored
I'm so bored
So bored
Givin' you what you're beggin' for
Givin' you what you say I need
I don't want any settled scores
I just want you to set me free
Givin' you what you're beggin' for
Givin' you what you say I need
Say I need
I'm not afraid anymore
What makes you sure you're all I need?
Forget about it
And when you walk out the door and leave me torn
You're teachin' me to live without it"
do re mi,blackbear, Pop/R&B,2017,59,75,-6,12,17,1,5,77,"Do, re, mi, fa, so
(Yeah, yeah, yeah, oh)
Do, re, mi, fa, so
(Yeah, yeah, yeah)
Yeah, if I could go back to the day we met
I probably would just stay in bed
You run your mouth all over town
And this one goes out to the sound
Of breakin' glass on my Range Rover
Pay me back, or bitch it's over
All the presents I would send
Fuck my friends behind my shoulder
Next time, I'ma stay asleep
I pray the Lord my soul to keep, oh
And you got me thinkin' lately
Bitch, you crazy
And nothing's ever good enough
I wrote a little song for ya
It go like
Do, re, mi, fa, so fuckin' done with you, girl
So fuckin' done with all the games you play
I ain't no Tic-Tac-Toe
Send the X and O's on another note
I'm do, re, mi, fa, so fuckin' done with you, baby
So send the X and O's on another note, I'm ghost
(Yeah, yeah, yeah, oh)
If I could go back to the day we met
I probably would've stayed in bed
You wake up everyday and make me feel like I'm incompetent
Designer shoes and Xanax tabs
Compliments your make-up bag
You never had to buy yourself a drink
'Cause everybody want to tap that ass sometime
And you got me thinkin' lately
Bitch, you crazy
And nothing's ever good enough
I wrote a little song for ya
It go like
Do, re, mi, fa, so fuckin' done with you, girl
So fuckin' done with all the games you play
I ain't no Tic-Tac-Toe
Send the X and O's on another note
I'm do, re, mi, fa, so fuckin' done with you, baby
So send the X and O's on another note, I'm ghost
(Yeah, yeah, yeah, oh)
I wrote a little song for you, it go like
Do, re, mi, fa, so fuckin' done with you, girl
So fuckin' done with all the games you play
I ain't no Tic-Tac-Toe
Send the X and O's on another note
I'm do, re, mi, fa, so fuckin' done with you, baby
So send the X and O's on another note, I'm ghost
(Yeah, yeah, yeah)
Do, re, mi, fa, so
(Yeah, yeah, yeah)
So send the X and O's on another note, I'm ghost"
That's What I Like,Bruno Mars, Pop/R&B,2017,56,85,-5,9,86,1,4,86,"Ayy, ayy, ayy
I got a condo in Manhattan
Baby girl, what's happenin'? (What's happenin'?)
You and your ass invited
So go on and get to clappin' (clap)
Go pop it for a player
Pop, pop it for me
Turn around and drop it for a player (drop it)
Drop, drop it for me (drop it)
I'll rent a beach house in Miami (-ami)
Wake up with no jammies (nope)
Lobster tail for dinner (yeah)
Julio, serve that scampi (Julio!)
You got it if you want it
Got, got it if you want it
Said, you got it if you want it
Take my wallet if you want it, now
Jump in the Cadillac
Girl, let's put some miles on it
Anything you want
Just to put a smile on it
You deserve it, baby, you deserve it all
And I'm gonna give it to you
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
I'm talkin' trips to Puerto Rico (bih)
Say the word and we go (say it)
You can be my freaka (brr)
Girl, I'll be your fleeko
Mamacita, I will never make a promise that I can't keep
I promise that your smile ain't gon' never leave
Shopping sprees in Paris (oh)
Everything 24 karats (uh)
Take a look in that mirror (take a look)
Now, tell me who's the fairest?
Is it you? (Is it you?) Is it me? (Is it me?)
Say it's us (say it's us) and I'll agree, baby
Jump in the Cadillac
Girl, let's put some miles on it
Anything you want
Just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
You say you want a good time
Well, here I am, baby, here I am, baby
Talk to me, talk to me, talk to me
Talk to me, tell me, what's on your mind? (What's on your mind?)
If you want it, girl, come and get it
All this is here for you
Tell me, baby, tell me, tell me, baby
What you tryna do?
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like (that's what I like, baby)
Lucky for you, that's what I like, that's what I like (oh, oh)
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like (that's what I like, baby)
Lucky for you, that's what I like, that's what I like (ooh, ooh, ooh)"
24K Magic,Bruno Mars, Pop/R&B,2017,80,82,-4,15,63,3,8,82,"Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right
Players, put yo' pinky rings up to the moon
Girls, what y'all trying to do?
Twenty four karat magic in the air
Head to toe so player
Look out, uh
Pop pop, it's show time (show time)
Show time (show time)
Guess who's back again?
Oh they don't know? (Go on tell 'em)
Oh they don't know? (Go on tell 'em)
I bet they know soon as we walk in (showin' up)
Wearing Cuban links (ya)
Designer minks (ya)
Inglewood's finest shoes (whoop, whoop)
Don't look too hard might hurt ya'self
Known to give the color red the blues
Oh shit, I'm a dangerous man with some money in my pocket (keep up)
So many pretty girls around me and they waking up the rocket (keep up)
Why you mad, fix ya face, ain't my fault y'all be jocking (keep up)
Players only, come on
Put your pinky rings up to the moon
Girls, what y'all trying to do?
Twenty four karat magic in the air
Head to toe so player
Uh, look out!
Second verse for the hustlas (hustlas) gangstas (gangstas)
Bad bitches and ya ugly ass friends (haha)
Can I preach? (Uh oh) can I preach? (Uh oh)
I gotta show 'em how a pimp get it in
First, take your sip (sip), do your dip (dip)
Spend your money like money ain't shit (whoop, whoop)
We too fresh
Got to blame in on Jesus
Hashtag blessed, they ain't ready for me
I'm a dangerous man with some money in my pocket (keep up)
So many pretty girls around me and they waking up the rocket (keep up)
Why you mad, fix ya face, ain't my fault y'all be jocking (keep up)
Players only, come on
Put your pinky rings up to the moon
Hey girls
What y'all trying to do? (What y'all trying to do?)
Twenty four karat magic in the air
Head to toe so player
Uh, look out!
everywhere I go they be like
Ooh, so player
Everywhere I go they be like (ooh, so player, ooh)
Oh everywhere I go they be like (ooh, so player, ooh)
Now, now, now watch me break it down like (uh)
Twenty four karat, twenty four karat magic
What's that sound (twenty four karat, twenty four karat magic)
Come on now
Twenty four karat, twenty four karat magic
Don't fight the feeling, invite the feeling
Just put your pinky rings up to the moon
Girls, what y'all trying to do? (Tell me what y'all trying to do)
Twenty four karat magic in the air
Head to toe so player (hands up!)
Put your pinky rings up to the moon
Girls, what y'all trying to do? (Do)
Twenty four karat magic in the air
Head to toe so player (twenty four karat) uh, look out"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris, Electronic/Dance,2017,75,89,-3,9,87,6,6,81,"Hey!
No-nothing ever last forever, no
One minute you're here and the next you're gone
So I respect you, wanna take it slow
I need a mental receipt to know this moment I owe
Do you mind if I steal a kiss? (Chop, chop)
A little souvenir, can I steal it from you?
To memorize the way you shock me
The way you move it here (Hey)
Just wanna feel it from you (Hey)
Don't be afraid to catch feels
Ride drop top and chase thrills (Hey)
I know you ain't afraid to pop pills (Hey)
Baby, I know you ain't scared to catch feels
Feels with me
I'm your window shopper, sucker for your love, oh
I'm wearing your goggles, virtual reality
It ain't what it cost you, it might be a dollar
As long as it shocks you, memory, electricity
Do you mind if I steal a kiss? (Chop, chop)
A little souvenir, can I steal it from you? (Oh, yeah)
To memorize the way you shock me (Yeah)
The way you move it here (Hey)
Just wanna feel it from you (Hey)
Don't be afraid to catch feels (Ha)
Ride drop top and chase thrills (Oh-oh-oh, oh)
I know you ain't afraid to pop pills (Hey)
Baby, I know you ain't scared to catch feels (Straight up)
Feels with me (Whoa)
Goddamn, I know you love to make an entrance
Do you like getting paid or getting paid attention?
You mixed the wrong guys with the right intentions
In the same bed, but it still feel long distance
She's looking for a little more consistency
But when you stop looking you gon' find what's meant to be
And honestly, I'm way too done with the hoes
I cut off all my exes for your x and o's
I feel my old flings was just preparing me
When I say I want you, say it back, parakeet
Fly in first-class through the air, Airbnb
I'm the best you had, you just be comparing me to me
I'mma 'at' this at you, if I put you on my phone
And upload it, it'll get maximum views
I came through in the clutch with the lipsticks and phones
Wear your fave cologne just to get you alone
Don't be afraid to catch feels
Don't be afraid to catch these feels
Ride drop top and chase thrills (Yeah)
I know you ain't afraid to pop pills (I know)
Baby, I know you ain't scared to catch feels
Whoa, whoa, whoa
Feels with me
Don't be afraid to catch feels (No, no)
Don't be afraid, baby
Ride drop top and chase thrills (Whoa, okay)
I know you ain't afraid to pop pills
I know, I know, I know
Baby, I know you ain't scared to catch feels
Feels with me"
Slide (feat. Frank Ocean & Migos),Calvin Harris, Electronic/Dance,2017,80,74,-3,25,51,50,5,77,"I might
Empty my bank account
And buy that boy with a pipe
Buy that boy with a pipe
I might, I might
Empty my bank account
And buy that boy with a pipe
Buy that boy with a pipe
I might
Do you slide on all your nights like this?
Do you try on all your nights like this? (I might)
Put some spotlight on the slide
Whatever comes, comes through clear
Do you slide on all your nights like this?
Do you try on all your nights like this? (I might)
Put some spotlight on the side
And whatever comes, comes through clear
All this jewelry ain't no use when it's this dark
It's my favorite part, we see the lights, they got so far
It went too fast, we couldn't reach it with our arms
Wrist on a wrist, a link of charms, yeah
Laying, we're still a link apart
It's like we could die here all young
Like we could dye hair all blonde
If we could see in twenty twin
Twice we could see it 'til the end
Put that spotlight on her face (spotlight)
Put that spotlight on her face (ah, yeah)
We gon' pipe up and turn up (pipe up)
We gon' light up and burn up (burn up)
Mama too hot like a (like what?)
Mama too hot like a furnace (furnace)
I got a hundred G's in my Goyard (G's)
My diamonds gon' shine when the lights dark (shine)
You and I take a ride down the boulevard (yeah)
And your friends really wanna break us apart
Good lord
Good gracious
Starin' at my diamonds while I'm hoppin' out a spaceship
Need your information, take vacation to Malaysia (Info)
You my baby, the paparazzi flashin' crazy
She swallowed the bottle while I sit back and smoke gelato
Walk in my mansion, twenty thousand painting, Picasso
Bitches be dippin', dabbin' with niggas like a nacho
Took off her panties, diamonds dancin' like Rick Ricardo
She havin' it, went to college, workin' on her bachelor
I know you got a past, I got a past, that's in the back of us
Average, I'ma make a million on the average
I'm ridin' with no brain, bitch, I'm out of it
Do you slide on all your nights like this?
Do you try on all your nights like this? (I might)
Put some spotlight on the slide
Whatever comes, comes through clear
Do you slide on all your nights like this?
Do you try on all your nights like this?
Put some spotlight on the side
And whatever comes, comes through clear (I might)
I might empty my bank account (ooh)
And buy that boy with a pipe (ooh, yeah)
Buy that boy with a pipe
I might, I might (slide)
Empty my bank account (ooh, slide)
And buy that boy with a pipe (slide, yeah)
(Do you slide on all your nights like this?)
Buy that boy with a pipe
I might"
Havana (feat. Young Thug),Camila Cabello, Pop/Latin,2017,52,77,-4,13,39,18,3,84,"Hey
Havana, ooh na-na (ayy)
Half of my heart is in Havana, ooh na-na (ayy, ayy)
He took me back to East Atlanta, na-na-na, ah
Oh, but my heart is in Havana (ayy)
There's somethin' 'bout his manners (uh-huh)
Havana, ooh-na-na (uh)
He didn't walk up with that ""how you doin'?"" (uh)
When he came in the room
He said there's a lot of girls I can do with (uh)
But I can't without you
I knew him forever in a minute (hey)
That summer night in June
And papa says he got malo in him (uh)
He got me feelin' like...
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (ayy)
I knew it when I met him (ayy), I loved him when I left him
Got me feelin' like, ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh
And then I had to tell him, I had to go
Oh-na-na-na-na-na (woo)
Havana, ooh na-na (ayy, ayy)
Half of my heart is in Havana, ooh na-na (ayy, ayy)
He took me back to East Atlanta, na-na-na (uh huh)
Oh, but my heart is in Havana (ayy)
My heart is in Havana (ayy)
Havana, ooh-na-na
Jeffery, just graduated, fresh on campus, mmm
Fresh out East Atlanta with no manners, damn (fresh out East Atlanta)
Bump on her bumper like a traffic jam
Hey, I was quick to pay that girl like Uncle Sam (here you go, ayy)
Back it on me (back it up)
Shawty cravin' on me, get to eatin' on me (on me)
She waited on me (then what?)
Shawty cakin' on me, got the bacon on me (wait up)
This is history in the makin', on me (on me)
Point blank, close range, that B
If it cost a million, that's me (that's me)
I was gettin' mula, baby
Havana, ooh na-na (ayy, ayy)
Half of my heart is in Havana, ooh na-na (oh, ayy, ayy)
He took me back (uh huh) to East Atlanta, na-na-na (oh, no)
Oh, but my heart is in Havana (ayy)
My heart is in Havana (ayy)
Havana, ooh-na-na
Ooh-na-na, oh-na-na-na (ooh, ooh-ooh-ooh-ooh-ooh-ooh)
Take me back, back, back like...
Ooh-na-na, oh-na-na-na (yeah, babe)
Take me back, back, back like...
Ooh-na-na, oh-na-na-na (yeah, yeah)
Take me back, back, back like...
Ooh-na-na, oh-na-na-na (yeah, babe)
Take me back, back, back
Hey, hey
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (hey)
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (hey)
Take me back to my Havana
Havana, ooh na-na (hey)
Half of my heart is in Havana, ooh na-na (oh, yeah)
He took me back to East Atlanta, (ayy, ayy) na-na-na
Oh, but my heart is in Havana
My heart is in Havana (ayy)
Havana, ooh-na-na
Uh-huh
Oh, na-na-na (oh, na, yeah)
Oh, na-na-na
Oh, na-na-na (no, no, no, take me back)
Oh, na-na-na
Havana, ooh-na-na"
Bodak Yellow,Cardi B, Rap/Hip-Hop,2017,70,93,-6,23,49,7,10,77,"It's Cardi
Ayy
Said I'm the shit, couldn't fuck with me if they wanted to
I don't gotta dance
Said little bitch, you can't fuck with me
If you wanted to
These expensive, these is red bottoms
These is bloody shoes
Hit the store, I can get 'em both
I don't wanna choose
And I'm quick, cut a nigga off
So don't get comfortable
Look, I don't dance now
I make money moves (ayy, ayy)
Say I don't gotta dance
I make money move
If I see you and I don't speak
That means I don't fuck with you
I'm a boss, you a worker, bitch
I make bloody moves
Now she says she gon' do what to who?
Let's find out and see, Cardi B
You know where I'm at
You know where I be
You in the club just to party
I'm there, I get paid a fee
I be in and out them banks so much
I know they're tired of me
Honestly, don't give a fuck
'Bout who ain't fond of me
Dropped two mixtapes in six months
What bitch working as hard as me?
I don't bother with these hoes
Don't let these hoes bother me
They see pictures, they say, ""Goals""
Bitch, I'm who they tryna be
Look, I might just chill in some Bape
I might just chill with your boo
I might just feel on your babe
My pussy feel like a lake
He wanna swim with his face
I'm like, ""Okay""
I'll let him do what he want
He buy me Yves Saint Laurent
And the new whip
When I go fast as a horse
I got the trunk in the front
I'm the hottest in the street
Know you prolly heard of me
Got a bag and fixed my teeth
Hope you hoes know it ain't cheap
And I pay my mama bills
I ain't got no time to chill
Think these hoes be mad at me
Their baby father run a bill
Said little bitch, you can't fuck with me
If you wanted to
These expensive, these is red bottoms
These is bloody shoes
Hit the store, I can get 'em both
I don't wanna choose
And I'm quick, cut a nigga off
So don't get comfortable
Look, I don't dance now
I make money moves (ayy, ayy)
Say I don't gotta dance
I make money move
If I see you and I don't speak
That means I don't fuck with you
I'm a boss, you a worker, bitch
I make bloody moves
If you a pussy you get popped
You a goofy, you a opp
Don't you come around my way
You can't hang around my block
And I just checked my accounts
Turns out, I'm rich, I'm rich, I'm rich
I put my hand above my hip
I bet, you dip, he dip, she dip
I say, I get the money and go
This shit is hot like a stove
My pussy glitter as gold
Tell that lil' bitch play her role
I just arrove in a Rolls
I just came up in a Wraith
I need to fill up the tank
No, I need to fill up the safe
I need to let all these hoes know
That none of they niggas is safe
I go to dinner and steak
Only the real can relate
I used to live in the P's
Now it's a crib with a Gate
Rollie got charms, look like Frosted Flakes
Had to let these bitches know
Just in case these hoes forgot
I just run and check the mail
Another check from Mona Scott
Said little bitch, you can't fuck with me
If you wanted to
These expensive, these is red bottoms
These is bloody shoes
Hit the store, I can get 'em both
I don't wanna choose
And I'm quick, cut a nigga off
Don't get comfortable
Look, I don't dance now
I make money moves (ayy, ayy)
Say I don't gotta dance
I make money move
If I see you and I don't speak
That means I don't fuck with you
I'm a boss, you a worker bitch
I make bloody moves (bloody moves)"
No Promises (feat. Demi Lovato),Cheat Codes, Electronic/Pop,2017,62,74,-7,11,58,6,16,66,"Cutting me up like a knife
And I feel it, deep in my bones
Kicking a habit I love even harder
You wanna know?
I just wanna dive in the water, with you
Baby, we can't see the bottom
It's so easy to fall for each other
I'm just hoping we catch one another (another)
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises
Baby, I think about you
And I feel it, deep in my heart (deep in my heart)
Maybe we just ain't meant to be something
Maybe we are, ooh?
I just wanna dive in the water, with you
Baby, we can't see the bottom
It's so easy to fall for each other
I'm just hoping we catch one another (another)
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises, oh
I just wanna dive in the water
Oh baby, we can't see the bottom
I just want to dive in with you
I just want to lie here with you, oh
Oh na na, just be careful, na na (yeah)
Love ain't simple, na na
Promise me no promises (promise me)
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises, no
Promise me no promises
Don't you promise me nothing
Promise me, me, me, me
Just be careful
Promise me no promises"
Redbone,Childish Gambino, R&B/Pop,2017,34,74,-11,10,58,17,12,87,"Daylight
I wake up feeling like you won't play right
I used to know, but now that shit don't feel right
It made me put away my pride
So long
You made a nigga wait for some, so long
You make it hard for a boy like that to go wrong
I'm wishing I could make this mine, oh
If you want it, yeah
You can have it, oh, oh, oh
If you need it, ooh
We can make it, oh
If you want it
You can have it
But stay woke
Niggas creepin'
They gon' find you
Gon' catch you sleepin', ooh
Now stay woke
Niggas creepin'
Now don't you close your eyes
Too late
You wanna make it right, but now it's too late
My peanut butter chocolate cake with Kool-Aid
I'm trying not to waste my time
If you want it, oh
You can have it, you can have it
If you need it
You better believe in something
We can make it, oh
If you want it
You can have it, ah!
But stay woke (stay woke)
Niggas creepin' (they be creepin')
They gon' find you (they gon' find you)
Gon' catch you sleepin' (gon' catch you sleepin', put your hands up now, baby)
Ooh, now stay woke
Niggas creepin'
Now, don't you close your eyes
But stay woke (ooh)
Niggas creepin' (they gon' find you)
They gon' find you
Gon' catch you sleepin', ooh (gon' catch you)
Now stay woke
Niggas creepin'
Now, don't you close your eyes
How'd it get so scandalous?
Oh, how'd it get so scandalous?
Oh, oh, how'd it get
How'd it get
How'd it get so scandalous?
How'd it get so scandalous?
But stay woke
But stay woke"
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit, Electronic/Pop,2017,76,72,-4,18,74,41,5,80,"Call it love and devotion
Call it the mom's adoration (foundation)
A special bond of creation, hah
For all the single mums out there
Going through frustration
Clean Bandit, Sean-Da-Paul, Anne-Marie, sing, make them hear
… She works the night, by the water
She's gonna stress, so far away from her father's daughter
She just wants a life for her baby
All on her own, no one will come
She's got to save him (daily struggle)
… She tells him ""ooh love
No one's ever gonna hurt you, love""
""I'm gonna give you all of my love""
""Nobody matters like you"" (stay up there, stay up there)
She tells him ""your life ain't gonna be nothing like my life"" (straight)
""You're gonna grow and have a good life""
""I'm gonna do what I've got to do"" (stay up there, stay up there)
… So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Ah, rockabye, no (Rockabye-rocka-rocka-rocka-bye) (oh)
Rockabye, yeah, yeah (Rockabye-rocka-rocka-rocka-bye)
… Single mum, how're you doing out there?
Facing the hard life without no fear (yeah)
Just see and know that you really care
'Cause any obstacle come you well prepared (oh, no)
And no, mamma you never shed tear
'Cause you haffi shed things year after year (na, na, na, na)
And you give the youth love beyond compare (yeah)
You find the school fee and the bus fare (yeah)
Hmm, all when di pops disappear
In a wrong bar can't find him nowhere
Steadily you work flow, heavily you know, so you nah stop
No time, no time for ya dear
… Now she gotta a six year old
Trying to keep him warm
Trying to keep all the cold
When he looks her in the eyes
He don't know he's safe when she says
… ""Ooh love, no one's ever gonna hurt you, love""
""I'm gonna give you all of my love""
""Nobody matters like you""
… So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry (Bidda-bang-bang-bang, alright then)
Ah, rockabye, no (Rockabye-rocka-rocka-rocka-bye) (Oh)
Rockabye, yeah (Rockabye-rocka-rocka-rocka-bye) (yeah)
… Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo
Rockabye, don't bother cry
Angels around you, just dry your eye
… Now she gotta a six year old
Trying to keep him warm
Trying to keep all the cold
When he looks her in the eyes
He don't know he's safe when she says
… She tells him ""ooh love
No one's ever gonna hurt you, love""
""I'm gonna give you all of my love""
""Nobody matters like you"" (stay up there, stay up there)
She tells him ""your life ain't gonna be nothing like my life"" (straight)
""You're gonna grow and have a good life""
""I'm gonna do what I've got to do"" (yeah)
… So, rockabye baby, rockabye (Rockabye-rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye baby, don't you cry (Rockabye-rocka-rocka-rocka-bye)
Somebody's got you
Rockabye baby, rockabye (Rockabye-rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye baby, don't you cry (Bidda-bang-bang-bang, alright then)
Rockabye
… Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo (Rockabye!)
Rockabye, don't bother cry (yeah yeah)
Angels around you, just dry your eye (Rockabye!)
… Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo (Rockabye!)
Rockabye, don't bother cry
Angels around you, just dry your eye"
